TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Niñas y jóvenes informáticas vencen insultos masculinos,NA ,Los tiempos Bolivia ,2019,Tecnología,Nota de prensa ,https://www.lostiempos.com/tendencias/tecnologia/20190429/ninas-jovenes-informaticas-vencen-insultos-masculinos,,,,,,,,,,,,,,,,,,,
Motivar a las niñas en ciencias y tecnología es un reto social,Catherine Camacho,Los tiempos Bolivia ,2019,Tecnología,Nota de prensa ,https://www.lostiempos.com/tendencias/educacion/20190605/motivar-ninas-ciencias-tecnologia-es-reto-social,,,,,,,,,,,,,,,,,,,
UTILIZANDO METODOLOGÍA MIXTA EN ESTUDIOS DE INVESTIGACIÓN SOBRE EQUIDAD DE GÉNERO EN CARRERAS DE SISTEMAS Y TECNOLOGÍA,Indira Guzman,NA ,NA,Tecnología,Presentación investigación,https://warwick.ac.uk/fac/sci/eng/research/enhancing_research_culture/events_reimagining_a_stem_research_culture/americas/guzman_presentation_women_in_it_inwes_v1.pdf,,,,,,,,,,,,,,,,,,,
"Critical Analysis of Stakeholders in the Municipality of Tarija, Bolivia, in Search of Strategies for Adequate Water Governance to Implement Reverse Osmosis as an Alternative for Generating Safe Water for Its Inhabitants","Esteban Manuel Villena-Martínez , Paola Andrea Alvizuri-Tintaya,Vanesa Gladys Lo-Iacono-Ferreira ,Jaime Lora-García,Juan Ignacio Torregrosa-López,Lorena Sánchez Barrero ,Alejandra Leigue Fernández ,Paul D’Abzac ","Centro de Investigación de Ingeniería y Ciencias Exactas, Departamento de Ciencias Básicas e Infraestructura, Universidad Católica Boliviana “San Pablo”, Tarija, Bolivia, Centro de Investigación en Agua, Energía y Sostenibilidad, Universidad Católica Boliviana “San Pablo”, La Paz, Bolivia, Project Management, Innovation and Sustainability Research Center (PRINS), Alcoy Campus, Universitat Politècnica de València, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain, Research Institute for Industrial, Radiophysical and Environmental Safety (ISIRYM), Universitat Politècnica de València, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain, Centro de Investigación de Ciencias Exactas e Ingeniería, Universidad Católica Boliviana “San Pablo”, Cochabamba, Bolivia",2023,STEM,Paper colaborativo mujeres STEM,https://www.mdpi.com/2073-4441/15/17/3164,,,,,,,,,,,,,,,,,,,
"Contamination of Water Supply Sources by Heavy Metals: The Price of Development in Bolivia, a Latin American Reality","Paola Andrea Alvizuri-Tintaya ,Esteban Manuel Villena-Martínez ,Nithya Avendaño-Acosta ,Vanesa Gladys Lo-Iacono-Ferreira,Juan Ignacio Torregrosa-López,Jaime Lora-García 
","Centro de Investigación en Agua, Energía y Sostenibilidad, Universidad Católica Boliviana “San Pablo”, La Paz, Bolivia, Project Management, Innovation and Sustainability Research Center (PRINS), Universitat Politècnica de València, Alcoy Campus, Plaza Ferrándiz y Carbonell, s/n, 03690 Alcoy, Spain, Departamento de Ingeniería y Ciencias Exactas, Universidad Católica Boliviana “San Pablo”, Tarija, Bolivia, Research Institute for Industrial, Radiophysical and Environmental Safety (ISIRYM), Universitat Politècni-ca de València, Plaza Ferrándiz y Carbonell, s/n, 03690 Alcoy, Spain",2022,STEM,Paper colaborativo mujeres STEM,https://www.mdpi.com/2073-4441/14/21/3470?utm_campaign=releaseissue_waterutm_medium=emailutm_source=releaseissueutm_term=titlelink160,,,,,,,,,,,,,,,,,,,
"Reverse Osmosis Modeling Study of Lead and Arsenic Removal from Drinking Water in Tarija and La Paz, Bolivia","Esteban Manuel Villena-Martínez,Paola Andrea Alvizuri-Tintaya ,Jaime Lora-García ,Juan Ignacio Torregrosa-López ,Vanesa Gladys Lo-Iacono-Ferreira","
Departamento de Ingeniería y Ciencias Exactas, Universidad Católica Boliviana “San Pablo”, Tarija, Bolivia, Project Management, Innovation and Sustainability Research Center (PRINS), Universitat Politècnica de València, Alcoy Campus, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain, Centro de Investigación en Agua, Energía y Sostenibilidad, Universidad Católica Boliviana “San Pablo”, La Paz, Bolivia, Research Institute for Industrial, Radiophysical and Environmental Safety (ISIRYM), Universitat Politècnica de València, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain",2022,STEM ,Paper colaborativo mujeres STEM,https://www.mdpi.com/2227-9717/10/9/1889,,,,,,,,,,,,,,,,,,,
A Comparative Analysis of Statistical Models and Mathematics in Reverse Osmosis Evaluation Processes as a Search Path to Achieve Better Efficiency,"Esteban Manuel Villena-Martínez ,Paola Andrea Alvizuri-Tintaya ,Jaime Lora-Garcia ,Juan Ignacio Torregrosa-López ,Vanesa Gladys Lo-Iacono-Ferreira ","Departamento de Ingeniería y Ciencias Exáctas, Universidad Católica Boliviana “San Pablo”, Tarija, Bolivia,Project Management, Innovation and Sustainability Research Center (PRINS), Alcoy Campus, Universitat Politècnica de València, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain, Centro de Investigación en Agua, Energía y Sostenibilidad, Universidad Católica Boliviana “San Pablo”, La Paz, Bolivia,Research Institute for Industrial, Radiophysical and Environmental Safety (ISIRYM), Alcoy Campus, Universitat Politècnica de València, Plaza Ferrándiz y Carbonell, s/n, E-03690 Alcoy, Spain
",2022,STEM ,Paper colaborativo mujeres STEM,https://www.mdpi.com/2073-4441/14/16/2485?utm_campaign=releaseissue_waterutm_medium=emailutm_source=releaseissueutm_term=doilink84,,,,,,,,,,,,,,,,,,,
Variación de la calidad del agua en la Cuenca Katari (Bolivia) y su relación con las actividades antrópicas,"d'Abzac, Paul Foulon, Agathe Schneider, Caroline
Escobar Camacho, Ivan Federico Xavier
Alvizuri-Tintaya, Paola Andrea",CIDIP 2024 ,2024,STEM ,Paper colaborativo mujeres STEM,http://dspace.aeipro.com/xmlui/bitstream/handle/123456789/3637/AT04-023_24.pdf?sequence=1&isAllowed=y,,,,,,,,,,,,,,,,,,,
La realidad de las mujeres bolivianas en carreras STEM,"Vidfa Carolina Garvizu Auza, Susana Gloria Vargas Mendieta",UCB,2021,STEM,Paper escrito por mujeres STEM,https://1library.co/article/realidad-mujeres-bolivianas-carreras-stem.zlg4l5x6,,,,,,,,,,,,,,,,,,,
"¿Por qué tan pocas mujeres en Bolivia optan por carreras universitarias relacionadas con STEM (Ciencia, Tecnología, Ingeniería y Matemáticas) y qué podemos hacer para cambiar esta situación?","Boris Branisa, Patricia Cabero, Indira Guzmán",,2020,STEM,Paper colaborativo mujeres STEM,https://ideas.repec.org/p/iad/sdsnwp/1020.html,,,,,,,,,,,,,,,,,,,
